item_id,knowledge_code
12977,[83]
13124,[83]
16475,[107]
8690,[48]
14225,[96]
5749,[31]
15915,[100]
16561,"[107, 107]"
990,[5]
7846,[43]
2524,"[13, 14]"
8683,[48]
14656,[98]
13057,[83]
13180,[83]
5986,[33]
5634,[31]
15648,[99]
5635,[31]
2746,[14]
677,"[4, 122]"
361,"[2, 32, 50]"
9996,[54]
10384,[57]
7414,"[38, 56]"
12162,[80]
1327,"[6, 12]"
5015,[30]
9152,[50]
15829,[100]
12807,[82]
11493,[68]
9178,[50]
14444,[97]
7736,[42]
10826,[59]
12122,[80]
15325,[99]
11012,[59]
14806,[99]
6879,"[35, 36, 47]"
7817,[43]
6086,[33]
12329,"[81, 81]"
14421,[97]
3596,[19]
3855,[21]
15816,[100]
15088,[99]
3605,[19]
8537,[47]
7377,"[38, 56]"
6481,[34]
1729,"[7, 38]"
16484,[107]
8458,"[46, 59]"
13998,[93]
13035,[83]
8301,"[46, 59]"
14005,[93]
11968,[80]
4858,[27]
2301,[10]
8790,[49]
2057,"[8, 45]"
6471,[34]
14804,[99]
5741,[31]
6286,"[33, 34]"
4008,[21]
15539,[99]
13810,[90]
177,"[2, 25, 45]"
13593,[89]
15441,[99]
15071,[99]
11450,[67]
16547,[107]
12338,[81]
11945,[80]
13101,[83]
8963,[49]
5053,[30]
5435,"[31, 31]"
13008,[83]
10340,[57]
320,"[2, 25, 45]"
14569,[98]
11438,[64]
12496,[82]
1213,"[6, 9]"
12522,[82]
1220,"[6, 9]"
1521,"[7, 38]"
14575,[98]
334,"[2, 25, 32, 49]"
1914,[8]
7087,[35]
7782,[42]
11502,[68]
1848,"[7, 15]"
1597,"[7, 7, 12, 12]"
5722,[31]
6315,"[33, 34]"
7143,[35]
7821,[43]
2508,"[13, 14]"
2523,"[13, 14]"
3010,[15]
5444,[31]
8809,[49]
1250,"[6, 9]"
11629,[71]
7263,[37]
38,"[1, 10]"
955,[5]
11921,[80]
7224,[37]
14705,[99]
5616,[31]
14911,[99]
6342,[33]
6911,[35]
8609,[47]
1487,"[7, 12]"
10441,[57]
7845,[43]
16541,[107]
5502,[31]
3128,[15]
6083,[33]
6749,[34]
2469,"[13, 14]"
16373,[105]
3988,"[21, 103]"
15125,[99]
8938,[49]
15534,[99]
1592,"[7, 15]"
8306,"[46, 59]"
14944,[99]
12730,[82]
7768,[42]
9282,[50]
2024,[8]
15570,[99]
141,"[2, 25, 32]"
16559,[107]
14111,[94]
6213,"[33, 34]"
8290,"[46, 56]"
3514,[18]
10070,"[54, 54]"
14505,[98]
3129,[15]
16298,[104]
3979,[21]
14676,[99]
15199,[99]
10068,[54]
8250,"[46, 59]"
1819,"[7, 38]"
7437,[39]
10224,[56]
314,"[2, 25, 45]"
10159,[55]
12406,[82]
1372,"[7, 15]"
13082,[83]
3932,[21]
6624,[34]
7451,[39]
6324,"[33, 34]"
15956,[100]
15833,[100]
14557,[98]
15840,[100]
16119,[100]
10084,[54]
14606,[98]
9652,[52]
15466,[99]
15717,[100]
7169,[35]
1411,"[7, 15]"
14739,[99]
8593,[47]
10220,[56]
8147,[45]
5794,[31]
15080,[99]
409,"[2, 45]"
12131,[80]
8243,"[46, 46, 59, 59]"
2624,[13]
1735,"[7, 38]"
13073,[83]
9248,[50]
8314,"[46, 56]"
9172,[50]
15952,[100]
12174,[80]
7450,[39]
5603,[31]
9250,[50]
11903,[80]
14536,[98]
1251,"[6, 11]"
14750,[99]
16663,[113]
15743,[100]
8898,[49]
4208,[23]
7531,[39]
13977,[93]
16095,[100]
1939,[8]
5797,[31]
8949,[49]
14918,[99]
5549,[31]
16388,[105]
13990,[93]
15831,[100]
13204,[83]
7448,[39]
4004,[21]
10273,[56]
4667,[27]
92,[1]
1923,[8]
8126,[45]
4651,[27]
15105,[99]
7733,[42]
13129,[83]
14143,[95]
1359,"[6, 9]"
14582,[98]
2803,[14]
15508,[99]
3939,[21]
2970,[15]
5997,[33]
7873,[43]
14788,[99]
8368,"[46, 59]"
10043,[54]
15786,[100]
1185,"[6, 11]"
5674,[31]
168,"[2, 25, 45]"
15167,[99]
13787,[90]
13649,[90]
10349,[57]
5617,[31]
12006,[80]
13760,[90]
15403,[99]
6209,"[33, 34]"
3009,[15]
9510,[50]
3981,[21]
4696,[27]
14895,[99]
5434,[31]
6211,"[33, 34]"
13453,[87]
8805,[49]
15082,[99]
8279,"[46, 56]"
14459,[97]
3006,[15]
246,"[2, 32, 50]"
8967,[49]
8256,"[46, 46, 59, 59]"
12721,[82]
12074,[80]
14972,[99]
6784,"[35, 36, 47]"
339,"[2, 25, 32]"
5247,[30]
8014,[43]
5680,[31]
1175,"[6, 11]"
11434,[64]
15678,[99]
2206,[9]
5697,[31]
14807,[99]
10744,[58]
2014,"[8, 45]"
4159,[23]
12184,[80]
8810,[49]
6816,"[35, 36, 47]"
11942,[80]
6189,[33]
8207,[45]
14572,[98]
5128,[30]
9397,[50]
12983,[83]
3987,[21]
3081,[15]
2715,[14]
13380,[85]
9228,[50]
8360,"[46, 46, 59, 59]"
1146,"[6, 10]"
7883,[43]
13473,[87]
8804,[49]
12121,[80]
6660,[34]
14029,[93]
15808,[100]
7917,[43]
4332,"[23, 81]"
6419,[33]
9453,[50]
15473,[99]
12091,[80]
15341,[99]
2485,"[13, 14]"
11186,[60]
3889,[21]
12978,[83]
11196,[60]
2021,[8]
4386,"[24, 30]"
14283,[96]
2094,[8]
49,"[1, 10]"
5556,[31]
10141,[55]
2608,"[13, 14]"
4828,[27]
12910,[83]
9675,[52]
11529,[68]
13953,[92]
10894,[59]
210,"[2, 25, 32, 49]"
5849,[31]
4160,"[23, 52]"
14922,[99]
11969,[80]
445,[3]
3974,[21]
9286,[50]
13461,[87]
5430,[31]
15582,[99]
9100,[50]
15877,"[100, 100]"
1941,"[8, 45]"
5808,[31]
7918,[43]
12199,[80]
14808,[99]
16506,[107]
4698,[27]
5520,[31]
14284,[96]
34,"[1, 10]"
11941,[80]
2471,"[13, 14]"
4523,[26]
13656,[90]
12596,[82]
333,"[2, 25, 32, 49]"
8142,[45]
15894,[100]
2979,[15]
3062,[15]
10842,[59]
5510,[31]
8339,"[46, 56]"
14956,[99]
6055,[33]
16522,[107]
8220,[45]
14534,[98]
14046,[94]
7532,[39]
1093,"[6, 12]"
13511,[87]
8243,"[46, 59]"
15578,[99]
12795,[82]
587,"[4, 122]"
7399,"[38, 56]"
15336,[99]
15663,[99]
10120,[55]
11780,[79]
15614,"[99, 99]"
16099,[100]
7655,"[40, 47]"
14262,[96]
8152,[45]
14695,[99]
12331,[81]
8413,"[46, 59]"
2546,[13]
3075,[15]
12943,[83]
2995,[15]
3903,[21]
12037,[80]
16708,[113]
13771,[90]
16546,[107]
15806,[100]
13713,[90]
375,"[2, 25, 32, 49]"
5534,[31]
15538,[99]
1444,"[7, 11]"
11910,[80]
16868,[115]
13054,[83]
3894,[21]
11840,[79]
15279,[99]
12025,[80]
11743,[79]
14612,[98]
8801,[49]
7447,[39]
7353,[38]
13111,[83]
13373,[85]
6787,[35]
12412,[82]
2372,[10]
8103,[45]
1590,"[7, 10]"
10283,[56]
16270,[104]
15720,[100]
15306,[99]
5736,[31]
15629,[99]
13023,[83]
13963,[92]
15008,[99]
4731,[27]
6563,[34]
7441,[39]
3002,[15]
9391,[50]
14839,[99]
10003,[54]
5477,[31]
6063,"[33, 34]"
8782,[49]
16695,[113]
12663,[82]
8402,"[46, 59]"
3028,[15]
9670,[52]
13281,[83]
13399,[86]
14751,[99]
8084,[45]
6103,[33]
7360,[38]
13446,[87]
5472,[31]
2536,[13]
13571,[89]
6293,"[33, 34]"
13833,[90]
6477,[34]
7904,[43]
8380,"[46, 59]"
17579,[120]
14522,[98]
11985,[80]
13997,[93]
8247,"[46, 59]"
7811,[43]
15137,[99]
9775,[52]
8075,[45]
10247,[56]
10017,[54]
2513,"[13, 14]"
13065,[83]
8049,[45]
6065,[33]
7859,[43]
8833,[49]
15277,[99]
8721,[48]
4900,[28]
13545,[87]
12483,[82]
5691,[31]
11637,[71]
139,"[2, 25, 32, 49]"
35,"[1, 1, 10, 10]"
12214,[80]
8321,"[46, 46, 59, 59]"
36,"[1, 10]"
14295,[96]
14996,[99]
7350,[38]
2065,[8]
15073,[99]
5473,[31]
14125,[95]
14719,[99]
15899,[100]
16530,[107]
4564,[26]
12265,[80]
15734,[100]
7315,[37]
14893,[99]
7177,"[35, 36, 47]"
15406,[99]
5457,[31]
16551,[107]
13002,[83]
1048,[5]
2875,[14]
5647,[31]
5494,[31]
15725,[100]
7183,"[35, 36, 47]"
17556,[120]
9714,[52]
12204,[80]
7178,[35]
15271,[99]
3000,[15]
5774,[31]
12460,[82]
4058,[21]
7739,[42]
11206,[60]
14792,[99]
7207,[35]
6054,[33]
7665,"[40, 47]"
16528,[107]
15033,[99]
12158,[80]
14636,[98]
1575,"[7, 11]"
148,"[2, 25, 32, 49]"
10037,[54]
12137,[80]
2997,[15]
15130,[99]
1297,"[6, 9]"
7714,[42]
8777,[49]
6483,[34]
8166,[45]
9233,[50]
4133,[22]
8685,[48]
7480,[39]
4394,"[24, 30]"
8518,[47]
8318,"[46, 59]"
479,[3]
7351,[38]
8829,[49]
8315,"[46, 56]"
8634,[48]
2780,[14]
11931,[80]
2496,"[13, 14]"
9137,[50]
12546,[82]
8454,"[46, 59]"
5586,[31]
7382,"[38, 56]"
8254,"[46, 59]"
1503,"[7, 12]"
3937,[21]
11770,[79]
4978,[28]
14065,[94]
2113,[8]
14127,[95]
5243,[30]
7763,[42]
12141,[80]
7595,[39]
7820,[43]
2490,"[13, 14]"
8785,[49]
14949,[99]
1332,"[6, 10]"
15207,[99]
12181,[80]
5499,[31]
12019,[80]
11989,[80]
689,"[4, 122]"
9165,[50]
13069,[83]
12802,[82]
7897,[43]
7955,[43]
9192,[50]
7405,"[38, 56]"
9751,[52]
