user_id,item_id,score
1615,12977,1
782,13124,0
1084,16475,0
593,8690,0
127,14225,1
1443,5749,1
437,15915,1
915,16561,0
55,990,1
3128,7846,1
437,2524,1
481,8683,0
1057,14656,0
933,13057,0
144,13180,1
45,5986,0
742,5634,1
3119,15648,1
2342,5635,0
50,2746,1
127,677,0
106,361,1
48,9996,1
492,10384,0
2220,7414,1
2492,12162,1
483,1327,0
766,5015,0
2128,9152,0
50,15829,0
3167,12807,1
474,11493,1
1117,9178,1
475,14444,1
78,7736,1
480,10826,1
2978,12122,0
891,15325,0
1050,11012,0
1015,14806,0
154,6879,1
2695,7817,0
619,6086,0
1130,12329,1
3369,14421,1
1002,3596,1
474,3855,0
2374,15816,1
2792,15088,1
208,3605,1
1513,8537,0
162,7377,0
136,6481,1
69,1729,1
491,16484,0
111,8458,1
491,13998,0
459,13035,1
1342,8301,0
498,14005,1
2467,11968,0
2005,4858,0
947,2301,0
478,8790,1
670,2057,0
2551,6471,1
97,14804,0
2456,5741,0
61,6286,1
464,4008,0
456,15539,0
114,13810,1
799,177,0
1416,13593,1
440,15441,1
2034,15071,0
439,11450,1
473,16547,0
3139,12338,0
3007,11945,0
2690,13101,1
71,8963,1
85,5053,0
591,5435,0
2187,13008,1
2418,10340,1
694,320,0
884,14569,1
471,11438,1
2374,12496,1
1037,1213,0
512,12522,1
307,1220,0
91,1521,1
718,14575,0
108,334,0
177,1914,1
49,7087,1
98,7782,1
67,11502,1
1205,1848,1
38,1597,1
2557,5722,1
91,6315,0
2626,7143,1
2281,7821,1
74,2508,0
495,2523,0
1579,3010,1
106,5444,1
2626,8809,1
129,1250,1
886,11629,0
194,7263,0
496,38,1
135,955,1
2830,11921,1
1481,7224,1
427,14705,1
559,5616,0
61,14911,1
745,6342,1
2296,6911,1
153,8609,1
81,1487,1
897,10441,1
2164,7845,1
473,16541,0
1353,5502,0
1361,3128,0
1045,6083,0
719,6749,1
108,2469,1
62,16373,1
468,3988,0
278,15125,0
74,8938,1
1008,15534,0
930,1592,1
1736,8306,0
1080,14944,1
525,12730,1
505,7768,1
3418,9282,1
425,2024,1
4047,15570,0
559,141,1
1848,16559,1
108,14111,0
499,6213,1
1515,8290,1
13,3514,1
1230,10070,1
871,14505,1
1706,3129,0
218,16298,1
127,3979,0
3609,14676,1
485,15199,1
180,10068,1
2099,8250,0
926,1819,0
2192,7437,1
2802,10224,1
449,314,1
671,10159,1
2693,12406,1
1140,1372,1
2176,13082,1
98,3932,0
584,6624,1
2155,7451,1
2192,6324,1
891,15956,1
499,15833,1
2151,14557,1
89,15840,1
2454,16119,1
9,10084,1
226,14606,0
80,9652,1
437,15466,1
866,15717,0
2304,7169,1
1017,1411,1
470,14739,0
3155,8593,1
2943,10220,1
2442,8147,1
890,5794,1
102,15080,1
132,409,1
1056,12131,0
467,8243,0
931,2624,0
444,1735,1
1991,13073,0
452,9248,1
24,8314,1
3434,9172,1
926,15952,1
2210,12174,1
2316,7450,0
2183,5603,0
102,9250,1
2275,11903,1
217,14536,0
69,1251,1
898,14750,1
149,16663,1
6,15743,0
2222,8898,1
510,4208,0
827,7531,1
869,13977,1
75,16095,1
78,1939,0
2163,5797,0
